lsm6dso_accelerometer.x,lsm6dso_accelerometer.y,lsm6dso_accelerometer.z,ak09918_magnetometer.x,ak09918_magnetometer.y,ak09918_magnetometer.z,orientation.x,orientation.y,orientation.z,lsm6dso_gyroscope.x,lsm6dso_gyroscope.y,lsm6dso_gyroscope.z,tmd4912_light_cct.x,tmd4912_light_cct.y,tmd4912_light_cct.z
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.375,4.531,8.368,-35.82,-23.58,-18.42,107.96875,-28.65625,1.984375,0.015384,0.122354,0.107333,70,0,0
0.052,4.665,8.794,-36.3,-22.98,-18.06,107.546875,-27.890623,0.21875,0.034941,0.06146,0.088839,70,0,0
0.524,4.401,8.705,-38.16,-21.18,-17.22,107.28125,-26.625,2.765625,-0.007758,0.048772,0.060079,70,0,0
1,4.234,8.435,-38.46,-20.039999,-17.16,104.890625,-26.25,5.6875,-0.030875,0.006652,0.114893,71,0,0
0.701,4.251,8.878,-38.16,-20.58,-18,105.81249,-25.640623,3.96875,-0.091442,-0.162717,0.198908,71,0,0
0.179,4.641,8.923,-38.94,-19.5,-18.24,103.34375,-27.53125,0.875,-0.076472,-0.043485,0.122894,71,0,0
0.653,4.586,8.7,-38.46,-20.4,-18.359999,102.984375,-27.734377,3.328125,0.045323,0.166322,0.135135,71,0,0
0.701,4.435,8.729,-38.82,-20.279999,-17.82,103.984375,-26.984377,4.390625,0.072515,0.067159,0.099156,72,0,0
-0.265,3.3,8.466,-38.52,-20.58,-17.58,103.859375,-23.6875,-1.765625,0.045319,-0.053276,0.022058,72,0,0
0.888,4.605,8.657,-38.399998,-19.859999,-17.699999,104.03125,-27.828123,3.890625,0.0209,0.039727,-0.014461,72,0,0
0.299,4.361,8.411,-38.1,-20.16,-17.58,103.68751,-31.4375,8.03125,-0.083721,0.012588,-0.032749,72,0,0
0.617,4.289,8.585,-38.579998,-18.6,-17.46,102.546875,-22.65625,-2.65625,0.008853,0.017781,0.054065,72,0,0
0.497,4.181,8.655,-37.98,-18.6,-17.46,102.359375,-26.0625,3.671875,-0.035729,0.090445,0.054313,72,0,0
0.706,4.375,8.617,-38.219997,-19.439999,-17.76,103.421875,-26.6875,4.09375,-0.040489,0.015116,0.016054,72,0,0
0.56,4.38,8.827,-38.34,-19.439999,-18.96,102.75,-26.4375,3.421875,-0.011581,-0.036315,0.022139,72,0,0
0.629,4.284,8.775,-38.16,-20.82,-19.56,103.125,-25.96875,3.359375,-0.016868,0.004171,0.026616,72,0,0
0.598,4.167,9.016,-38.76,-17.82,-18.779999,102.68751,-24.859377,3.53125,-0.069742,-0.009756,-0.027722,72,0,0
0.502,4.222,8.851,-38.52,-17.94,-19.14,102.015625,-25.875,2.875,-0.078608,0.016156,0.015477,72,0,0
0.641,4.15,8.889,-38.46,-19.02,-19.8,102.328125,-25.015623,3.5625,-0.041984,0.051498,0.059275,72,0,0
