lsm6dso_accelerometer.x,lsm6dso_accelerometer.y,lsm6dso_accelerometer.z,ak09918_magnetometer.x,ak09918_magnetometer.y,ak09918_magnetometer.z,lsm6dso_gyroscope.x,lsm6dso_gyroscope.y,lsm6dso_gyroscope.z,tmd4912_light_cct.x,tmd4912_light_cct.y,tmd4912_light_cct.z
0,0,0,0,0,0,0,0,0,0,0,0
-0.59342,1.2562319,9.79143,-5.5125003,-35.5875,-13.781251,-0.022907428,-0.29458955,-0.22036947,53,53,210
-0.28953153,1.5888343,10.001999,-3.9562502,-33.28125,-17.643751,0.02046397,-0.33551747,-0.12140937,53,53,210
0.20338993,1.8089739,9.741181,-5.25,-34.537502,-15.056251,-0.30390522,-1.4466805,-0.28817546,53,53,207
1.7228323,1.4739788,10.076176,-6.9,-33.35625,-18.4125,-0.34666577,-1.5328125,-0.6638573,53,53,207
3.591627,1.7395821,8.997013,-8.681251,-32.381252,-18.675001,-0.09498947,-2.8119633,0.09422589,52,52,206
6.259624,2.1272194,7.678568,-13.556251,-30.525002,-14.85,0.23243405,-3.6922195,0.21334453,52,52,206
9.829716,1.4189439,5.3072805,-17.41875,-27.750002,-13.781251,0.83963364,-3.5462227,0.22128576,52,52,206
10.920842,0.083748795,2.5507488,-22.931252,-30.281252,-3.80625,0.558025,-1.877951,0.11866048,43,43,206
10.013963,-0.93559366,2.2947168,-24.2625,-30.768751,1.2750001,0.52992517,-0.5193878,0.091782436,43,43,206
9.887143,-0.26799613,-0.79920274,-25.66875,-31.10625,5.7937503,0.37171122,-0.82482016,-0.2423606,35,35,206
7.7814593,1.7874385,0.80877405,-24.393751,-31.706251,6.675,-0.15913028,2.7279694,0.10338886,35,35,206
5.8887367,1.5194423,4.6707897,-30.300001,-37.03125,3.0937502,-0.011300999,5.0168796,0.6873756,34,34,206
2.012364,0.7728817,10.466207,-22.0125,-30.843752,-13.218751,-0.61239195,5.4426527,0.28787002,34,34,206
-1.2179468,0.32303107,13.576876,-10.181251,-29.587502,-21.112501,0.24098615,3.6216645,-0.060322896,34,34,206
-2.9503503,-0.1268196,11.437693,-2.2125,-33.45,-21.112501,0.23487751,3.0841036,-0.22769985,36,36,206
-3.9625144,-1.4644074,8.662018,5.2125,-34.725002,-18.618752,-0.19211698,2.029751,-0.719446,36,36,206
-5.790631,-1.0408778,7.554141,10.06875,-34.800003,-15.843751,-0.19394957,1.1140647,-0.6571378,51,51,206
-5.7547383,0.11964113,9.367901,12.918751,-33.91875,-14.118751,1.7259984,-2.8516695,-0.22098033,51,51,206
-3.737589,1.7922242,9.753145,9.09375,-35.737503,-13.70625,3.3301294,-3.6183047,0.13026692,64,64,206
-1.3830515,4.749753,7.4823565,3.8812501,-40.875,-4.96875,2.8787003,-1.2450951,0.08567379,64,64,206
-0.11485548,6.9678993,8.465807,0.7875,-43.575,6.6937504,2.1768167,-0.8883501,0.08811724,64,64,206
0.4235296,9.968499,6.812366,1.9125,-41.04375,13.462501,2.0967934,-0.319635,0.21517712,50,50,206
0.19860429,8.834301,4.395615,0.50625,-38.60625,22.125,2.5421138,-0.30863944,0.21639885,50,50,206
0.7465607,7.6139617,0.1698904,-0.46875003,-32.71875,30.69375,1.7815871,0.41951138,-0.21059564,38,38,206
0.6029913,8.059027,-1.3184453,-0.75,-27.562502,33.956253,0.39370236,0.5551234,-0.434783,38,38,206
-0.40677986,9.238688,-1.8640088,-1.1625,-26.456251,35.34375,-0.9795217,0.4072941,-0.38163778,31,31,206
-1.4979069,11.052447,0.33738798,-1.725,-30.187502,32.34375,-2.9752169,0.021838415,-0.23075417,31,31,206
-1.2849457,9.102298,6.216553,-0.975,-38.475002,23.90625,-3.8316493,-0.36911505,-0.3675879,31,31,206
0.37088752,3.0053852,8.908479,0.8625,-42.3375,9.95625,-3.4217591,0.21548255,-0.06704241,31,31,206
0.2416751,1.7515461,9.846465,3.16875,-38.9625,-3.16875,-1.9092579,0.57589275,-0.35475972,36,36,206
0.44506502,1.995614,8.879765,5.8125,-35.0625,-12.075001,-0.5207622,-0.14798199,-0.16233732,36,36,206
0.94277215,2.012364,8.867801,4.70625,-34.237503,-13.593751,-0.86223567,-0.29458955,-0.16050471,36,36,206
0.7848458,1.079163,10.19821,3.8437502,-32.850002,-17.325,-0.8384119,0.06887501,-0.10613775,48,48,206
0.91405827,-0.3493521,12.160325,6.1125,-30.375002,-20.493752,-0.21410811,-0.011148282,-0.01084285,48,48,206
-0.57188463,-2.359323,12.562319,5.5875,-29.1375,-22.3875,-0.7315106,0.5111411,0.17974696,64,64,206
-0.8350951,-1.835295,9.68136,6.39375,-27.862501,-23.868752,0.21838416,-0.74540776,0.16875139,64,64,206
-0.6843473,-1.119841,8.066205,3,-30.768751,-23.15625,-0.35705048,0.058490302,0.22311836,72,72,206
-0.7848458,-0.7920243,7.9513497,0.84375006,-30.35625,-24.468752,-0.8286381,0.25518876,0.49189886,72,72,206
-0.23928227,-1.6199409,8.681161,0.3,-28.0125,-27.16875,-1.1554507,0.17699806,0.84009176,72,72,206
-1.4955142,-4.8287163,8.7984085,-0.35625002,-24.2625,-30.54375,-2.6874995,1.0126611,1.5034909,77,77,206
-2.5148566,-9.97807,9.140582,1.2,-13.500001,-36.862503,-1.8603886,0.59360784,0.3263545,77,77,206
-2.4311078,-10.286744,6.5443697,2.7,-6.1687503,-39.16875,-0.8347467,0.48731738,-0.13729186,80,80,206
