lsm6dso_accelerometer.x,lsm6dso_accelerometer.y,lsm6dso_accelerometer.z,ak09918_magnetometer.x,ak09918_magnetometer.y,ak09918_magnetometer.z,lsm6dso_gyroscope.x,lsm6dso_gyroscope.y,lsm6dso_gyroscope.z,tmd4912_light_cct.x,tmd4912_light_cct.y,tmd4912_light_cct.z
-2.213361,2.7397819,9.812965,-20.625,-3.2250001,-31.087502,-0.4761691,-0.20234896,-0.26885685,0,0,0
-2.498107,2.8833513,9.2793665,-24.112501,-5.68125,-28.181252,0.1291979,-0.6849321,0.12698352,625,625,210
-1.3471591,1.8592232,9.537791,-24.6375,-4.1625004,-27.393751,-0.11453715,-0.29092434,0.15935935,625,625,210
-0.64845496,2.2157538,9.410972,-25.0125,-3.3375,-27.300001,-0.37048948,-0.081397735,0.053679742,625,625,210
-0.16510476,2.091327,10.195817,-24.862501,-2.04375,-27.54375,-0.23426664,-0.52671814,0.029856017,597,597,207
0.3493521,1.847259,10.13839,-25.181252,0.58125,-27.768751,-0.70951945,-0.3092503,-0.44906196,597,597,207
0.8781659,0.8997013,9.915857,-27.54375,0.63750005,-25.406252,0.35521787,-0.6892082,-0.24808747,583,583,206
0.634098,1.1389836,9.97807,-27.900002,0.1875,-26.081251,-0.21288638,-0.5542071,0.027412556,583,583,206
1.5960127,1.3615161,9.41815,-28.7625,0.52500004,-24.6375,-0.010079269,-0.8804089,-0.25175264,558,558,206
2.2444677,1.39023,9.688539,-30.31875,0.09375,-22.63125,0.097432934,-1.0056361,-0.0410043,558,558,206
3.3834512,1.4213367,9.949356,-30.581251,2.71875,-19.25625,0.06994402,-2.0074544,0.12148573,558,558,206
5.209175,1.1509477,7.381858,-33.43125,3.16875,-10.3125,0.12797616,-3.179704,0.30352345,531,531,206
7.503892,1.2370893,4.6325045,-34.631252,4.51875,0.075,0.31428993,-3.4661994,0.59307337,524,524,206
9.755538,0.60777694,2.0841484,-32.268753,6.1687503,12.337501,0.28924447,-2.3855796,0.41408995,524,524,206
10.502099,0.74895346,0.6125626,-26.8875,8.587501,19.181252,0.18051054,-0.7185297,0.002977966,524,524,206
10.059426,0.7800602,-0.33020952,-26.681252,8.512501,22.237501,-0.024129158,0.43905905,-0.09537126,522,522,206
9.533006,0.7728817,1.1006985,-27.7875,7.8,20.85,-0.3197877,1.419497,0.1117119,522,522,206
9.15494,0.38763726,3.3619158,-30.54375,7.2187505,15.13125,-0.3839285,2.4970624,0.032299474,513,513,206
7.1952176,0.15074782,6.3050876,-33.28125,7.275,6.3375,-0.47739083,2.8305948,0.10377065,513,513,206
5.8672013,0.08853444,7.6259255,-33.99375,7.2562504,-4.1625004,-0.160352,2.277762,-0.23281583,514,514,206
4.321438,0.33499518,9.064013,-32.4375,6.76875,-11.75625,0.002748892,1.5923718,-0.2334267,514,514,206
2.9312077,0.46181476,9.15494,-30.806252,5.3625,-17.212502,0.15913028,2.0804527,-0.2248746,580,580,206
0.45702913,0.6125626,9.2075815,-26.5125,5.0437503,-22.44375,0.2196059,3.1500769,-0.12652537,580,580,206
-3.1680973,1.1174482,9.801002,-18.45,3.91875,-30.50625,0.20494513,3.2081091,-0.047112945,580,580,206
-6.1208405,0.50009996,8.599805,-10.96875,0.50625,-35.175003,-0.37598726,3.4768896,0.16913319,583,583,206
-8.147561,0.60059845,6.0346985,2.2687502,2.8125,-36.225002,-0.46822786,1.8196135,-0.054443322,583,583,206
