lsm6dso_accelerometer.x,lsm6dso_accelerometer.y,lsm6dso_accelerometer.z,ak09918_magnetometer.x,ak09918_magnetometer.y,ak09918_magnetometer.z,lsm6dso_gyroscope.x,lsm6dso_gyroscope.y,lsm6dso_gyroscope.z,tmd4912_light_cct.x,tmd4912_light_cct.y,tmd4912_light_cct.z
0,0,0,0,0,0,0,0,0,0,0,0
-1.5074782,3.0795627,9.896714,-17.212502,-37.66875,-7.4062505,-0.33628106,-0.27870706,-0.22098033,602,602,210
-0.9738788,2.737389,9.142975,-15.712501,-37.5,-8.775001,-0.057115857,-0.18096869,-0.40790495,602,602,210
-0.5623133,2.6105695,9.387043,-16.0125,-39.487503,-7.3500004,0.014966187,-0.25793764,-0.29794928,602,602,208
-0.67477596,2.481357,10.076176,-14.775001,-38.68125,-8.493751,0.1188132,-0.5658135,-0.51724976,602,602,208
-0.53359944,2.7948167,10.325029,-14.306251,-40.55625,-6.6937504,-0.124310985,-0.76251197,-0.13729186,613,613,205
0.6771688,2.4789643,10.363315,-14.08125,-40.85625,-6.5437503,0.6814197,-0.44364056,-0.22098033,613,613,205
0.6867401,2.3521447,10.542776,-11.83125,-41.79375,-4.9875,-0.48777553,-1.1186461,-0.37308568,633,633,205
1.375873,1.1270195,8.82473,-12.337501,-43.93125,-4.3500004,-0.14202607,-0.8651372,-0.28023422,633,633,205
1.8855443,1.0456635,9.7196455,-12.356251,-44.4,-4.14375,-0.521984,-0.6543889,0.11866048,633,633,205
2.457429,1.6701902,9.099904,-12,-42.84375,-5.7937503,-0.101708986,-0.581696,0.12293654,669,669,206
3.6203406,1.8233309,8.930014,-11.45625,-41.850002,-6.24375,0.2837467,-1.5071561,0.052076224,669,669,206
4.8526444,1.7994026,8.781659,-11.64375,-41.5125,-4.1625004,-0.044898562,-1.0734421,0.09850194,778,778,206
6.582655,2.0267208,8.133204,-14.475,-43.068752,-2.60625,0.14508039,-1.6507094,-0.099418245,778,778,206
8.190632,2.1104696,6.1208405,-14.606251,-43.893753,-0.31875002,-0.09071342,-2.121686,0.11133011,1001,1001,206
8.353344,0.4139583,3.7160535,-15.20625,-43.912502,1.1812501,0.083383046,-1.6018401,0.24816382,1001,1001,206
8.796016,0.66759753,1.9166509,-16.575,-44.53125,3.0937502,-0.17745622,-1.1803435,0.050854493,1462,1462,206
9.736395,0.46899325,1.550549,-17.962502,-45.80625,2.5125,-0.2629773,0.5667298,0.37583455,1462,1462,206
9.064013,0.9092726,2.78046,-19.462502,-44.8875,-1.21875,-0.09010255,1.5361722,0.4320341,1462,1462,206
8.817552,1.026521,4.2185464,-20.38125,-44.737503,-5.7937503,0.0772744,3.5960083,0.11194097,2106,2106,206
6.5443697,0.60777694,8.427522,-14.906251,-43.575,-12.281251,0.54580766,3.7310092,0.007483094,2106,2106,206
2.565106,0.65324056,10.779666,-9.0375,-44.34375,-14.681251,0.08277218,3.2844672,-0.08048143,1597,1597,206
-2.0554347,0.3589234,9.583255,-0.5625,-44.175003,-15.58125,0.03451386,3.1262531,-0.13912445,1597,1597,206
-4.6731825,0.7106683,7.611569,3.24375,-46.6875,-14.306251,0.20127994,2.8086035,0.12660173,716,716,206
-6.285945,0.3589234,6.9248285,7.3875003,-47.5875,-10.40625,-0.4761691,2.412763,-0.06276636,716,716,206
-6.987042,0.63170516,6.108876,12.58125,-45.787502,-9.13125,-0.3045161,1.3730713,1.53E-04,716,716,206
-7.8484583,1.3495519,5.7762737,14.681251,-45.05625,-8.868751,-0.17318016,0.34498587,-0.06276636,665,665,206
-8.896515,1.0313065,6.2261243,15.39375,-45.075,-7.51875,0.15057817,-0.73868823,0.010537418,665,665,206
